filename,object_location,image_small,image_thumb
210a.jpg,/objects/210a.jpg,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg
210b.jpg,/objects/210b.jpg,/objects/small/210b_sm.jpg,/objects/thumbs/210b_th.jpg
661_hbphotographs_12.jpg,/objects/661_hbphotographs_12.jpg,/objects/small/661_hbphotographs_12_sm.jpg,/objects/thumbs/661_hbphotographs_12_th.jpg
661_hbphotographs_18.jpg,/objects/661_hbphotographs_18.jpg,/objects/small/661_hbphotographs_18_sm.jpg,/objects/thumbs/661_hbphotographs_18_th.jpg
661_hbphotographs_2.jpg,/objects/661_hbphotographs_2.jpg,/objects/small/661_hbphotographs_2_sm.jpg,/objects/thumbs/661_hbphotographs_2_th.jpg
661_hbphotographs_23.jpg,/objects/661_hbphotographs_23.jpg,/objects/small/661_hbphotographs_23_sm.jpg,/objects/thumbs/661_hbphotographs_23_th.jpg
661_hbphotographs_33.jpg,/objects/661_hbphotographs_33.jpg,/objects/small/661_hbphotographs_33_sm.jpg,/objects/thumbs/661_hbphotographs_33_th.jpg
661_hbphotographs_35.jpg,/objects/661_hbphotographs_35.jpg,/objects/small/661_hbphotographs_35_sm.jpg,/objects/thumbs/661_hbphotographs_35_th.jpg
661_hbphotographs_4.jpg,/objects/661_hbphotographs_4.jpg,/objects/small/661_hbphotographs_4_sm.jpg,/objects/thumbs/661_hbphotographs_4_th.jpg
661_hbphotographs_5.jpg,/objects/661_hbphotographs_5.jpg,/objects/small/661_hbphotographs_5_sm.jpg,/objects/thumbs/661_hbphotographs_5_th.jpg
661_hbphotographs_50.jpg,/objects/661_hbphotographs_50.jpg,/objects/small/661_hbphotographs_50_sm.jpg,/objects/thumbs/661_hbphotographs_50_th.jpg
661_hbphotographs_62.jpg,/objects/661_hbphotographs_62.jpg,/objects/small/661_hbphotographs_62_sm.jpg,/objects/thumbs/661_hbphotographs_62_th.jpg
demo_001.jpg,/objects/demo_001.jpg,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg
demo_002.pdf,/objects/demo_002.pdf,/objects/small/demo_002_sm.jpg,/objects/thumbs/demo_002_th.jpg
demo_003.mp3,/objects/demo_003.mp3,,
demo_004.jpg,/objects/demo_004.jpg,/objects/small/demo_004_sm.jpg,/objects/thumbs/demo_004_th.jpg
demo_005.txt,/objects/demo_005.txt,,
demo_012.md,/objects/demo_012.md,,
hells_half_theta.jpg,/objects/hells_half_theta.jpg,/objects/small/hells_half_theta_sm.jpg,/objects/thumbs/hells_half_theta_th.jpg
hughes_article.png,/objects/hughes_article.png,/objects/small/hughes_article_sm.jpg,/objects/thumbs/hughes_article_th.jpg
